,0,1,2,3,4,5,6,7
33,6, KAR-017,19, 10:45:17,50, s5, 20160620-000013_05_S19,5
34,6, KAR-017,20, 11:12:56,62, s4, 20160620-000013_05_S20,4
35,7, KAR-028,6, 11:54:02,56, s4, 20160620-000013_06_S6,4
0,11, KAR-030,1, 00:06:06,70, Nonconvulsive, 20160620-120010_10_S1,0
1,6, KAR-017,1, 00:19:03,41, Nonconvulsive, 20160620-120010_05_S1,0
2,6, KAR-017,2, 00:28:36,55, Nonconvulsive, 20160620-120010_05_S2,0
3,7, KAR-028,1, 00:35:03,58, s3, 20160620-120010_06_S1,3
4,11, KAR-030,2, 00:40:34,84, Nonconvulsive, 20160620-120010_10_S2,0
5,6, KAR-017,3, 00:48:45,55, Nonconvulsive, 20160620-120010_05_S3,0
6,11, KAR-030,3, 01:09:22,92, Nonconvulsive, 20160620-120010_10_S3,0
7,11, KAR-030,4, 01:35:11,53, Nonconvulsive, 20160620-120010_10_S4,0
8,7, KAR-028,2, 01:35:40,96, s2, 20160620-120010_06_S2,2
9,10, KAR-023,1, 01:55:09,64, s5, 20160620-120010_09_S1,5
10,6, KAR-017,4, 02:04:18,51, Nonconvulsive, 20160620-120010_05_S4,0
11,6, KAR-017,5, 02:11:33,46, Nonconvulsive, 20160620-120010_05_S5,0
12,6, KAR-017,6, 02:14:29,59, s4, 20160620-120010_05_S6,4
13,6, KAR-017,7, 02:24:57,32, Nonconvulsive, 20160620-120010_05_S7,0
14,6, KAR-017,8, 02:38:55,44, Nonconvulsive, 20160620-120010_05_S8,0
15,11, KAR-030,5, 02:42:14,56, Nonconvulsive, 20160620-120010_10_S5,0
16,7, KAR-028,3, 03:03:57,65, s3, 20160620-120010_06_S3,3
17,6, KAR-017,9, 03:33:25,45, Nonconvulsive, 20160620-120010_05_S9,0
18,11, KAR-030,6, 03:43:59,46, Nonconvulsive, 20160620-120010_10_S6,0
19,7, KAR-028,4, 04:00:11,68, s4, 20160620-120010_06_S4,4
20,11, KAR-030,7, 04:30:22,84, Nonconvulsive, 20160620-120010_10_S7,0
21,11, KAR-030,8, 04:57:29,70, Nonconvulsive, 20160620-120010_10_S8,0
22,6, KAR-017,10, 05:07:52,48, Nonconvulsive, 20160620-120010_05_S10,0
23,6, KAR-017,11, 05:38:23,47, Nonconvulsive, 20160620-120010_05_S11,0
24,6, KAR-017,12, 05:46:17,46, Nonconvulsive, 20160620-120010_05_S12,0
25,7, KAR-028,5, 05:57:01,82, s5, 20160620-120010_06_S5,5
26,11, KAR-030,9, 06:07:17,106, Nonconvulsive, 20160620-120010_10_S9,0
27,6, KAR-017,13, 06:30:35,50, Nonconvulsive, 20160620-120010_05_S13,0
28,7, KAR-028,6, 06:35:28,50, s4, 20160620-120010_06_S6,4
29,6, KAR-017,14, 07:00:01,44, Nonconvulsive, 20160620-120010_05_S14,0
30,6, KAR-017,15, 07:09:08,39, Nonconvulsive, 20160620-120010_05_S15,0
31,6, KAR-017,16, 07:22:02,48, Nonconvulsive, 20160620-120010_05_S16,0
32,10, KAR-023,2, 07:26:09,38, s4, 20160620-120010_09_S2,4
33,6, KAR-017,17, 07:34:38,46, Nonconvulsive, 20160620-120010_05_S17,0
34,6, KAR-017,18, 07:48:55,47, , 20160620-120010_05_S18,0
35,7, KAR-028,7, 07:49:44,67, s4, 20160620-120010_06_S7,4
36,6, KAR-017,19, 08:11:13,50, Nonconvulsive, 20160620-120010_05_S19,0
37,6, KAR-017,20, 08:31:43,44, Nonconvulsive, 20160620-120010_05_S20,0
38,2, KAR-036,1, 08:36:06,75, Nonconvulsive, 20160620-120010_01_S1,0
39,2, KAR-036,2, 08:39:05,49, s5, 20160620-120010_01_S2,5
40,6, KAR-017,21, 08:57:31,37, Nonconvulsive, 20160620-120010_05_S21,0
41,10, KAR-023,3, 09:08:14,55, s5, 20160620-120010_09_S3,5
42,7, KAR-028,8, 09:27:06,55, s4, 20160620-120010_06_S8,4
43,6, KAR-017,22, 09:39:25,57, Nonconvulsive, 20160620-120010_05_S22,0
44,6, KAR-017,23, 10:04:33,43, Nonconvulsive, 20160620-120010_05_S23,0
45,6, KAR-017,24, 10:57:12,39, Nonconvulsive, 20160620-120010_05_S24,0
46,12, KAR-022,1, 10:59:48,72, s5, 20160620-120010_11_S1,5
47,6, KAR-017,25, 11:53:07,66, Nonconvulsive, 20160620-120010_05_S25,0
0,10, KAR-023,1, 00:33:24,43, s4, 20160621-000006_09_S1,4
1,6, KAR-017,1, 00:33:52,50, Nonconvulsive, 20160621-000006_05_S1,0
2,6, KAR-017,2, 00:56:43,41, Nonconvulsive, 20160621-000006_05_S2,0
3,6, KAR-017,3, 01:08:04,41, Nonconvulsive, 20160621-000006_05_S3,0
4,6, KAR-017,4, 01:13:31,43, Nonconvulsive, 20160621-000006_05_S4,0
5,6, KAR-017,5, 01:20:41,62, Nonconvulsive, 20160621-000006_05_S5,0
6,6, KAR-017,6, 01:38:41,55, Nonconvulsive, 20160621-000006_05_S6,0
7,10, KAR-023,2, 01:42:18,46, s5, 20160621-000006_09_S2,5
8,6, KAR-017,7, 01:51:36,51, Nonconvulsive, 20160621-000006_05_S7,0
9,6, KAR-017,8, 02:12:51,50, Nonconvulsive, 20160621-000006_05_S8,0
10,6, KAR-017,9, 02:22:29,43, Nonconvulsive, 20160621-000006_05_S9,0
11,10, KAR-023,3, 02:33:38,35, s5, 20160621-000006_09_S3,5
12,6, KAR-017,10, 02:33:51,54, Nonconvulsive, 20160621-000006_05_S10,0
13,6, KAR-017,11, 02:42:16,44, s5, 20160621-000006_05_S11,5
14,6, KAR-017,12, 02:49:32,35, Nonconvulsive, 20160621-000006_05_S12,0
15,6, KAR-017,13, 03:30:11,77, Nonconvulsive, 20160621-000006_05_S13,0
16,10, KAR-023,5, 03:35:17,43, s5, 20160621-000006_09_S5,5
17,6, KAR-017,14, 04:04:40,57, Nonconvulsive, 20160621-000006_05_S14,0
18,6, KAR-017,15, 04:17:43,47, Nonconvulsive, 20160621-000006_05_S15,0
19,6, KAR-017,16, 04:56:46,57, Nonconvulsive, 20160621-000006_05_S16,0
20,2, KAR-036,1, 05:28:56,40, s5, 20160621-000006_01_S1,5
21,10, KAR-023,6, 05:30:41,49, s5, 20160621-000006_09_S6,5
22,6, KAR-017,17, 05:36:20,41, Nonconvulsive, 20160621-000006_05_S17,0
23,6, KAR-017,18, 05:59:00,40, Nonconvulsive, 20160621-000006_05_S18,0
24,6, KAR-017,19, 06:25:00,44, Nonconvulsive, 20160621-000006_05_S19,0
25,6, KAR-017,20, 06:47:09,50, Nonconvulsive, 20160621-000006_05_S20,0
26,6, KAR-017,21, 07:02:46,50, Nonconvulsive, 20160621-000006_05_S21,0
27,10, KAR-023,7, 07:13:14,46, s4, 20160621-000006_09_S7,4
28,6, KAR-017,22, 07:14:04,71, Nonconvulsive, 20160621-000006_05_S22,0
29,7, KAR-028,1, 07:20:55,38, s4, 20160621-000006_06_S1,4
30,6, KAR-017,23, 07:31:54,53, Nonconvulsive, 20160621-000006_05_S23,0
31,6, KAR-017,24, 08:18:19,74, Nonconvulsive, 20160621-000006_05_S24,0
32,7, KAR-028,2, 08:31:24,66, s4, 20160621-000006_06_S2,4
33,11, KAR-030,1, 08:34:49,53, Nonconvulsive, 20160621-000006_10_S1,0
34,10, KAR-023,8, 08:37:36,41, s4, 20160621-000006_09_S8,4
35,6, KAR-017,25, 08:40:18,46, Nonconvulsive, 20160621-000006_05_S25,0
36,6, KAR-017,26, 08:47:41,41, Nonconvulsive, 20160621-000006_05_S26,0
37,6, KAR-017,27, 08:55:01,56, Nonconvulsive, 20160621-000006_05_S27,0
38,6, KAR-017,28, 09:14:28,47, Nonconvulsive, 20160621-000006_05_S28,0
39,7, KAR-028,3, 09:18:43,66, s4, 20160621-000006_06_S3,4
40,11, KAR-030,2, 09:29:11,100, Nonconvulsive, 20160621-000006_10_S2,0
41,7, KAR-028,4, 09:48:12,84, s5, 20160621-000006_06_S4,5
42,6, KAR-017,29, 10:03:51,67, Nonconvulsive, 20160621-000006_05_S29,0
43,6, KAR-017,30, 10:21:43,50, Nonconvulsive, 20160621-000006_05_S30,0
44,11, KAR-030,3, 10:38:53,76, Nonconvulsive, 20160621-000006_10_S3,0
45,10, KAR-023,10, 10:42:27,55, s4, 20160621-000006_09_S10,4
46,7, KAR-028,5, 10:45:53,69, s4, 20160621-000006_06_S5,4
47,6, KAR-017,31, 10:54:20,40, Nonconvulsive, 20160621-000006_05_S31,0
48,6, KAR-017,32, 11:15:34,69, Nonconvulsive, 20160621-000006_05_S32,0
49,11, KAR-030,4, 11:17:45,79, Nonconvulsive, 20160621-000006_10_S4,0
50,6, KAR-017,33, 11:23:51,49, Nonconvulsive, 20160621-000006_05_S33,0
51,11, KAR-030,5, 11:36:31,109, Nonconvulsive, 20160621-000006_10_S5,0
0,7, KAR-028,1, 00:50:43,55, s4, 20160621-120013_06_S1,4
1,2, KAR-036,1, 00:59:41,48, s5, 20160621-120013_01_S1,5
2,6, KAR-017,1, 01:01:08,52, Nonconvulsive, 20160621-120013_05_S1,0
3,7, KAR-028,2, 01:25:22,32, s4, 20160621-120013_06_S2,4
4,11, KAR-030,1, 01:37:36,86, Nonconvulsive, 20160621-120013_10_S1,0
5,6, KAR-017,2, 01:46:08,51, Nonconvulsive, 20160621-120013_05_S2,0
6,6, KAR-017,3, 01:56:19,44, Nonconvulsive, 20160621-120013_05_S3,0
7,11, KAR-030,2, 02:04:47,63, Nonconvulsive, 20160621-120013_10_S2,0
8,10, KAR-023,1, 02:18:27,54, s5, 20160621-120013_09_S1,5
9,6, KAR-017,4, 02:27:28,43, Nonconvulsive, 20160621-120013_05_S4,0
10,6, KAR-017,5, 02:44:23,76, Nonconvulsive, 20160621-120013_05_S5,0
11,11, KAR-030,3, 02:58:12,95, Nonconvulsive, 20160621-120013_10_S3,0
12,6, KAR-017,6, 03:01:18,39, Nonconvulsive, 20160621-120013_05_S6,0
13,7, KAR-028,3, 03:03:38,59, s4, 20160621-120013_06_S3,4
14,6, KAR-017,7, 03:27:29,55, Nonconvulsive, 20160621-120013_05_S7,0
15,11, KAR-030,4, 03:38:26,57, Nonconvulsive, 20160621-120013_10_S4,0
16,6, KAR-017,8, 03:55:08,59, Nonconvulsive, 20160621-120013_05_S8,0
17,11, KAR-030,5, 04:19:24,75, Nonconvulsive, 20160621-120013_10_S5,0
18,6, KAR-017,9, 04:20:04,44, Nonconvulsive, 20160621-120013_05_S9,0
19,6, KAR-017,10, 04:26:11,35, Nonconvulsive, 20160621-120013_05_S10,0
20,10, KAR-023,2, 04:39:21,52, s4, 20160621-120013_09_S2,4
21,7, KAR-028,4, 04:40:15,69, s4, 20160621-120013_06_S4,4
22,11, KAR-030,7, 04:57:14,86, Nonconvulsive, 20160621-120013_10_S7,0
23,6, KAR-017,11, 05:06:55,72, Nonconvulsive, 20160621-120013_05_S11,0
24,7, KAR-028,5, 05:15:46,60, s4, 20160621-120013_06_S5,4
25,11, KAR-030,8, 05:23:43,77, s1, 20160621-120013_10_S8,1
26,10, KAR-023,3, 05:38:45,47, s5, 20160621-120013_09_S3,5
27,6, KAR-017,12, 05:45:37,85, Nonconvulsive, 20160621-120013_05_S12,0
28,6, KAR-017,13, 05:57:22,38, Nonconvulsive, 20160621-120013_05_S13,0
29,7, KAR-028,7, 06:04:34,64, s5, 20160621-120013_06_S7,5
30,10, KAR-023,4, 06:20:13,52, s5, 20160621-120013_09_S4,5
31,6, KAR-017,14, 06:28:33,78, Nonconvulsive, 20160621-120013_05_S14,0
32,7, KAR-028,8, 06:39:10,67, S4, 20160621-120013_06_S8,4
33,6, KAR-017,15, 06:42:55,52, Nonconvulsive, 20160621-120013_05_S15,0
34,6, KAR-017,16, 06:58:03,49, Nonconvulsive, 20160621-120013_05_S16,0
35,6, KAR-017,17, 07:10:35,44, Nonconvulsive, 20160621-120013_05_S17,0
36,7, KAR-028,9, 07:12:27,72, s4, 20160621-120013_06_S9,4
37,11, KAR-030,9, 07:16:52,94, s1, 20160621-120013_10_S9,1
38,6, KAR-017,18, 07:27:55,74, Nonconvulsive, 20160621-120013_05_S18,0
39,6, KAR-017,19, 07:55:47,60, Nonconvulsive, 20160621-120013_05_S19,0
40,6, KAR-017,20, 08:08:22,46, Nonconvulsive, 20160621-120013_05_S20,0
41,10, KAR-023,5, 08:11:11,41, s5, 20160621-120013_09_S5,5
42,6, KAR-017,21, 08:42:31,67, Nonconvulsive, 20160621-120013_05_S21,0
43,6, KAR-017,22, 08:52:40,27, Nonconvulsive, 20160621-120013_05_S22,0
44,6, KAR-017,23, 09:32:50,83, Nonconvulsive, 20160621-120013_05_S23,0
45,10, KAR-023,6, 09:36:01,58, s5, 20160621-120013_09_S6,5
46,2, KAR-036,2, 09:44:38,52, s5, 20160621-120013_01_S2,5
47,10, KAR-023,7, 10:44:50,57, s5, 20160621-120013_09_S7,5
48,6, KAR-017,24, 11:28:35,66, Nonconvulsive, 20160621-120013_05_S24,0
49,10, KAR-023,8, 11:46:37,50, s5, 20160621-120013_09_S8,5
50,9, KAR-024,1, 11:50:56,54, s5, 20160621-120013_08_S1,5
0,6, KAR-017,1, 00:15:58,41, Nonconvulsive, 20160622-000011_05_S1,0
1,6, KAR-017,2, 00:31:22,36, Nonconvulsive, 20160622-000011_05_S2,0
2,7, KAR-028,1, 00:53:27,51, s5, 20160622-000011_06_S1,5
3,6, KAR-017,3, 01:07:03,57, Nonconvulsive, 20160622-000011_05_S3,0
4,6, KAR-017,4, 01:15:13,42, Nonconvulsive, 20160622-000011_05_S4,0
5,10, KAR-023,1, 01:19:11,42, s5, 20160622-000011_09_S1,5
6,6, KAR-017,5, 01:39:00,85, Nonconvulsive, 20160622-000011_05_S5,0
7,11, KAR-030,1, 01:50:33,57, Nonconvulsive, 20160622-000011_10_S1,0
8,7, KAR-028,2, 01:51:52,66, s4, 20160622-000011_06_S2,4
9,6, KAR-017,6, 02:10:59,53, Nonconvulsive, 20160622-000011_05_S6,0
10,6, KAR-017,7, 02:21:12,78, Nonconvulsive, 20160622-000011_05_S7,0
11,10, KAR-023,2, 02:22:11,48, Nonconvulsive, 20160622-000011_09_S2,0
12,6, KAR-017,8, 03:05:55,41, Nonconvulsive, 20160622-000011_05_S8,0
13,6, KAR-017,9, 03:27:57,41, Nonconvulsive, 20160622-000011_05_S9,0
14,10, KAR-023,3, 04:05:59,55, s4, 20160622-000011_09_S3,4
15,10, KAR-023,4, 04:09:41,37, s4, 20160622-000011_09_S4,4
16,6, KAR-017,10, 04:22:47,52, Nonconvulsive, 20160622-000011_05_S10,0
17,6, KAR-017,11, 05:40:40,55, Nonconvulsive, 20160622-000011_05_S11,0
18,6, KAR-017,12, 06:33:30,44, Nonconvulsive, 20160622-000011_05_S12,0
19,6, KAR-017,13, 07:18:49,43, Nonconvulsive, 20160622-000011_05_S13,0
20,6, KAR-017,14, 07:40:04,42, Nonconvulsive, 20160622-000011_05_S14,0
21,10, KAR-023,5, 07:40:17,54, s5, 20160622-000011_09_S5,5
22,6, KAR-017,15, 08:11:59,54, Nonconvulsive, 20160622-000011_05_S15,0
23,11, KAR-030,2, 08:34:51,76, Nonconvulsive, 20160622-000011_10_S2,0
24,6, KAR-017,16, 08:49:38,40, Nonconvulsive, 20160622-000011_05_S16,0
25,11, KAR-030,3, 09:13:26,108, Nonconvulsive, 20160622-000011_10_S3,0
26,6, KAR-017,17, 09:13:15,52, Nonconvulsive, 20160622-000011_05_S17,0
27,6, KAR-017,19, 09:27:12,60, Nonconvulsive, 20160622-000011_05_S19,0
28,10, KAR-023,6, 09:30:03,59, s4, 20160622-000011_09_S6,4
29,6, KAR-017,20, 09:39:54,35, Nonconvulsive, 20160622-000011_05_S20,0
30,6, KAR-017,21, 10:01:06,50, Nonconvulsive, 20160622-000011_05_S21,0
31,11, KAR-030,4, 10:28:53,72, s4, 20160622-000011_10_S4,4
32,10, KAR-023,7, 10:58:32,41, Nonconvulsive, 20160622-000011_09_S7,0
33,6, KAR-017,22, 11:06:02,49, Nonconvulsive, 20160622-000011_05_S22,0
34,6, KAR-017,23, 11:17:23,47, Nonconvulsive, 20160622-000011_05_S23,0
35,11, KAR-030,5, 11:56:36,59, s4, 20160622-000011_10_S5,4
0,6, KAR-017,1, 00:07:01,38, Nonconvulsive, 20160622-120007_05_S1,0
1,10, KAR-023,1, 00:30:13,57, s3, 20160622-120007_09_S1,3
2,6, KAR-017,2, 00:42:08,38, Nonconvulsive, 20160622-120007_05_S2,0
3,11, KAR-030,1, 00:52:04,93, s5, 20160622-120007_10_S1,5
4,6, KAR-017,3, 00:57:17,49, Nonconvulsive, 20160622-120007_05_S3,0
5,6, KAR-017,4, 01:20:41,36, Nonconvulsive, 20160622-120007_05_S4,0
6,6, KAR-017,5, 01:28:18,43, Nonconvulsive, 20160622-120007_05_S5,0
7,10, KAR-023,2, 01:47:12,56, Nonconvulsive, 20160622-120007_09_S2,0
8,6, KAR-017,6, 02:05:57,45, Nonconvulsive, 20160622-120007_05_S6,0
9,6, KAR-017,7, 02:14:39,43, Nonconvulsive, 20160622-120007_05_S7,0
10,11, KAR-030,2, 02:15:22,85, s4, 20160622-120007_10_S2,4
11,6, KAR-017,8, 02:42:04,46, Nonconvulsive, 20160622-120007_05_S8,0
12,7, KAR-028,1, 02:54:53,57, s4, 20160622-120007_06_S1,4
13,10, KAR-023,3, 03:04:39,62, Nonconvulsive, 20160622-120007_09_S3,0
14,11, KAR-030,3, 03:12:04,70, s4, 20160622-120007_10_S3,4
15,6, KAR-017,9, 03:19:09,43, Nonconvulsive, 20160622-120007_05_S9,0
16,11, KAR-030,4, 03:31:40,69, s4, 20160622-120007_10_S4,4
17,6, KAR-017,10, 03:35:44,37, Nonconvulsive, 20160622-120007_05_S10,0
18,6, KAR-017,11, 03:52:46,44, Nonconvulsive, 20160622-120007_05_S11,0
19,10, KAR-023,4, 04:04:59,53, Nonconvulsive, 20160622-120007_09_S4,0
20,7, KAR-028,2, 04:11:54,47, Nonconvulsive, 20160622-120007_06_S2,0
21,6, KAR-017,12, 04:34:50,43, Nonconvulsive, 20160622-120007_05_S12,0
22,10, KAR-023,5, 04:59:29,47, s3, 20160622-120007_09_S5,3
23,6, KAR-017,13, 05:00:56,42, Nonconvulsive, 20160622-120007_05_S13,0
24,6, KAR-017,14, 05:17:59,44, Nonconvulsive, 20160622-120007_05_S14,0
25,6, KAR-017,15, 05:27:06,50, Nonconvulsive, 20160622-120007_05_S15,0
26,6, KAR-017,16, 05:38:55,55, Nonconvulsive, 20160622-120007_05_S16,0
27,11, KAR-030,5, 05:48:42,81, s4, 20160622-120007_10_S5,4
28,10, KAR-023,6, 05:54:06,60, s4, 20160622-120007_09_S6,4
29,7, KAR-028,3, 05:54:24,59, s4, 20160622-120007_06_S3,4
30,6, KAR-017,17, 06:22:30,47, Nonconvulsive, 20160622-120007_05_S17,0
31,10, KAR-023,7, 07:07:24,50, s5, 20160622-120007_09_S7,5
32,6, KAR-017,18, 07:09:10,56, Nonconvulsive, 20160622-120007_05_S18,0
33,7, KAR-028,4, 07:21:27,56, s4, 20160622-120007_06_S4,4
34,6, KAR-017,19, 07:38:41,78, Nonconvulsive, 20160622-120007_05_S19,0
35,10, KAR-023,8, 07:59:22,50, s5, 20160622-120007_09_S8,5
36,6, KAR-017,20, 08:26:16,66, Nonconvulsive, 20160622-120007_05_S20,0
37,10, KAR-023,9, 09:09:21,50, s4, 20160622-120007_09_S9,4
38,6, KAR-017,21, 09:22:23,93, Nonconvulsive, 20160622-120007_05_S21,0
39,6, KAR-017,22, 09:34:28,49, Nonconvulsive, 20160622-120007_05_S22,0
40,11, KAR-030,6, 09:41:55,59, s4, 20160622-120007_10_S6,4
41,11, KAR-030,7, 10:28:16,53, s5, 20160622-120007_10_S7,5
42,11, KAR-030,8, 11:02:22,72, s4, 20160622-120007_10_S8,4
43,7, KAR-028,5, 11:30:58,65, s4, 20160622-120007_06_S5,4
44,6, KAR-017,23, 11:38:15,71, Nonconvulsive, 20160622-120007_05_S23,0
45,10, KAR-023,10, 11:55:37,66, s4, 20160622-120007_09_S10,4
0,6, KAR-017,1, 00:20:58,50, Nonconvulsive, 20160623-000014_05_S1,0
1,11, KAR-030,1, 00:23:14,63, s4, 20160623-000014_10_S1,4
2,6, KAR-017,2, 00:36:11,56, Nonconvulsive, 20160623-000014_05_S2,0
3,6, KAR-017,3, 01:01:22,39, Nonconvulsive, 20160623-000014_05_S3,0
4,6, KAR-017,4, 01:20:54,39, Nonconvulsive, 20160623-000014_05_S4,0
5,7, KAR-028,1, 01:35:20,67, s4, 20160623-000014_06_S1,4
6,6, KAR-017,5, 02:06:40,48, Nonconvulsive, 20160623-000014_05_S5,0
7,3, KAR-037,1, 02:15:43,65, s5, 20160623-000014_02_S1,5
8,3, KAR-037,2, 02:18:51,87, Nonconvulsive, 20160623-000014_02_S2,0
9,6, KAR-017,6, 02:26:41,86, Nonconvulsive, 20160623-000014_05_S6,0
10,10, KAR-023,1, 03:11:31,64, s5, 20160623-000014_09_S1,5
11,6, KAR-017,7, 03:19:52,49, Nonconvulsive, 20160623-000014_05_S7,0
12,6, KAR-017,8, 03:42:04,51, Nonconvulsive, 20160623-000014_05_S8,0
13,6, KAR-017,9, 03:49:30,44, Nonconvulsive, 20160623-000014_05_S9,0
14,6, KAR-017,10, 04:29:10,43, Nonconvulsive, 20160623-000014_05_S10,0
15,10, KAR-023,2, 04:34:15,42, Nonconvulsive, 20160623-000014_09_S2,0
16,6, KAR-017,11, 05:54:40,38, Nonconvulsive, 20160623-000014_05_S11,0
17,11, KAR-030,2, 05:56:48,48, s5, 20160623-000014_10_S2,5
18,6, KAR-017,12, 06:19:09,52, Nonconvulsive, 20160623-000014_05_S12,0
19,11, KAR-030,3, 06:42:45,51, s5, 20160623-000014_10_S3,5
20,11, KAR-030,4, 07:05:15,57, s5, 20160623-000014_10_S4,5
21,11, KAR-030,5, 07:29:58,41, s5, 20160623-000014_10_S5,5
22,6, KAR-017,13, 07:45:00,45, Nonconvulsive, 20160623-000014_05_S13,0
23,11, KAR-030,6, 08:02:48,71, s5, 20160623-000014_10_S6,5
24,6, KAR-017,14, 08:10:30,39, Nonconvulsive, 20160623-000014_05_S14,0
25,11, KAR-030,7, 08:23:35,53, s4, 20160623-000014_10_S7,4
26,6, KAR-017,15, 08:24:41,46, Nonconvulsive, 20160623-000014_05_S15,0
0,11, KAR-030,1, 00:14:55,58, s5, 20160623-082749_10_S1,5
1,6, KAR-017,1, 00:30:01,55, Nonconvulsive, 20160623-082749_05_S1,0
2,10, KAR-023,1, 00:34:21,59, s3, 20160623-082749_09_S1,3
3,6, KAR-017,2, 01:18:48,61, Nonconvulsive, 20160623-082749_05_S2,0
4,7, KAR-028,1, 01:32:59,56, s4, 20160623-082749_06_S1,4
5,10, KAR-023,2, 01:47:21,55, Nonconvulsive, 20160623-082749_09_S2,0
6,6, KAR-017,3, 02:08:32,46, Nonconvulsive, 20160623-082749_05_S3,0
7,6, KAR-017,4, 02:43:27,57, Nonconvulsive, 20160623-082749_05_S4,0
8,11, KAR-030,2, 03:20:50,61, s4, 20160623-082749_10_S2,4
0,3, KAR-043,1, 13:54:58,47, s4, 20160623-083652_02_S1,4
1,3, KAR-043,2, 14:08:23,45, s4, 20160623-083652_02_S2,4
2,3, KAR-043,4, 14:22:33,63, s4, 20160623-083652_02_S4,4
3,3, KAR-043,5, 15:03:28,55, s4, 20160623-083652_02_S5,4
0,6, KAR-017,1, 00:00:35,59, Nonconvulsive, 20160623-120011_05_S1,0
1,11, KAR-030,1, 00:13:50,60, s4, 20160623-120011_10_S1,4
2,6, KAR-017,2, 00:16:26,38, Nonconvulsive, 20160623-120011_05_S2,0
3,7, KAR-028,1, 00:18:14,64, s2, 20160623-120011_06_S1,2
4,6, KAR-017,3, 00:23:17,39, Nonconvulsive, 20160623-120011_05_S3,0
5,11, KAR-030,2, 00:39:28,63, s4, 20160623-120011_10_S2,4
6,11, KAR-030,3, 00:39:28,53, s3, 20160623-120011_10_S3,3
7,6, KAR-017,4, 00:41:26,58, Nonconvulsive, 20160623-120011_05_S4,0
8,11, KAR-030,4, 00:57:59,63, s4, 20160623-120011_10_S4,4
9,6, KAR-017,5, 01:08:31,41, Nonconvulsive, 20160623-120011_05_S5,0
10,11, KAR-030,5, 01:18:11,53, s4, 20160623-120011_10_S5,4
11,6, KAR-017,6, 01:33:45,67, Nonconvulsive, 20160623-120011_05_S6,0
12,7, KAR-028,2, 01:35:32,56, s4, 20160623-120011_06_S2,4
13,11, KAR-030,6, 01:37:57,53, s5, 20160623-120011_10_S6,5
14,11, KAR-030,7, 01:50:16,52, s5, 20160623-120011_10_S7,5
15,11, KAR-030,8, 02:03:57,61, s5, 20160623-120011_10_S8,5
16,10, KAR-023,1, 02:11:37,49, Nonconvulsive, 20160623-120011_09_S1,0
17,6, KAR-017,7, 02:33:53,50, Nonconvulsive, 20160623-120011_05_S7,0
18,6, KAR-017,8, 03:24:02,44, Nonconvulsive, 20160623-120011_05_S8,0
19,11, KAR-030,9, 03:39:50,33, s1, 20160623-120011_10_S9,1
20,6, KAR-017,9, 03:58:40,49, s4, 20160623-120011_05_S9,4
21,6, KAR-017,10, 04:33:36,38, s4, 20160623-120011_05_S10,4
22,10, KAR-023,3, 05:08:31,52, s5, 20160623-120011_09_S3,5
23,6, KAR-017,11, 05:27:02,40, Nonconvulsive, 20160623-120011_05_S11,0
24,7, KAR-028,3, 06:15:53,64, Nonconvulsive, 20160623-120011_06_S3,0
25,6, KAR-017,12, 06:16:25,66, s4, 20160623-120011_05_S12,4
26,10, KAR-023,4, 06:55:22,53, s4, 20160623-120011_09_S4,4
27,6, KAR-017,13, 07:06:59,43, s4, 20160623-120011_05_S13,4
28,6, KAR-017,14, 07:46:35,38, s4, 20160623-120011_05_S14,4
29,6, KAR-017,15, 09:38:38,50, s4, 20160623-120011_05_S15,4
30,10, KAR-023,5, 09:41:16,51, s4, 20160623-120011_09_S5,4
31,6, KAR-017,16, 11:26:17,45, s4, 20160623-120011_05_S16,4
0,6, KAR-017,1, 00:15:30,51, Nonconvulsive, 20160624-000008_05_S1,0
1,7, KAR-028,1, 00:22:44,56, s3, 20160624-000008_06_S1,3
2,10, KAR-023,1, 00:39:25,62, s4, 20160624-000008_09_S1,4
3,6, KAR-017,2, 00:55:39,35, s4, 20160624-000008_05_S2,4
4,6, KAR-017,3, 01:15:14,36, s1, 20160624-000008_05_S3,1
5,10, KAR-023,2, 01:48:08,69, s5, 20160624-000008_09_S2,5
6,6, KAR-017,4, 01:49:40,53, Nonconvulsive, 20160624-000008_05_S4,0
7,8, KAR-025,1, 02:02:15,33, s5, 20160624-000008_07_S1,5
8,6, KAR-017,5, 02:46:08,42, s4, 20160624-000008_05_S5,4
9,10, KAR-023,3, 03:02:06,55, s5, 20160624-000008_09_S3,5
10,6, KAR-017,6, 03:41:18,56, s4, 20160624-000008_05_S6,4
11,10, KAR-023,4, 03:42:19,54, s4, 20160624-000008_09_S4,4
12,6, KAR-017,7, 04:16:27,32, Nonconvulsive, 20160624-000008_05_S7,0
13,10, KAR-023,5, 05:20:27,41, s4, 20160624-000008_09_S5,4
14,6, KAR-017,8, 05:26:41,48, s4, 20160624-000008_05_S8,4
15,1, KAR-021,1, 05:33:04,58, s4, 20160624-000008_00_S1,4
16,7, KAR-028,2, 05:48:35,51, Nonconvulsive, 20160624-000008_06_S2,0
17,8, KAR-025,2, 06:20:10,60, s5, 20160624-000008_07_S2,5
18,10, KAR-023,6, 06:21:17,46, Nonconvulsive, 20160624-000008_09_S6,0
19,6, KAR-017,9, 07:24:02,51, s3, 20160624-000008_05_S9,3
20,10, KAR-023,7, 08:01:01,67, s4, 20160624-000008_09_S7,4
